"landgrabbed","landgrabber","base","sector","hectares","production","year","status"
"Cameroon","IKO","China","Agribusiness",10000,"Cassava, maize, rice","2017","Done"
"Cameroon","Biopalm Energy","India","Agribusiness",2e+05,"Oil palm","2017","Done"
"Colombia","Monica Semillas","Brazil","Agribusiness",13000,"Crops","2017","Done"
"Colombia","Ingacot Group","Argentina","Agribusiness",1000,"Maize, soybeans
","2017","Done"
"Egypt","Kingdom Agricultural Development Holding","Saudi Arabia","Agribusiness",10500,NA,"2017","Done"
"Ethiopia","Rashtriya Kissan Sangathan","India","Agribusiness",5000,"Cotton, oil seeds, rice","2017","Done"
"Ethiopia","Ruchi Group","India","Agribusiness",50000,"Soybeans","2017","Done"
"Ethiopia","Hunan Dafengyuan","China","Agribusiness",25000,"Sugar cane","2017","Done"
"Gabon","SIAT","Belgium","Agribusiness",107300,"Cattle, palm oil","2017","Done"
"Ghana","Brazil Agro Business Group","Brazil","Agribusiness",5000,"Rice","2017","Done"
"Ghana","GADCO","UK","Agribusiness",1000,"Rice","2017","Done"
"Ghana","T4M","UK","Agribusiness",1e+05,"Rice","2017","Done"
"Guinea","Farm Lands of Guinea, Inc","UK","Agribusiness",106415,"Maize, soybeans","2017","Done"
"Indonesia","KS Oils","India","Agribusiness",56000,"Oil palm","2017","Done"
"Kenya","Dominion Farms","US","Agribusiness",7000,"Rice","2017","Done"
"Kenya","Omnicane","Mauritius","Agribusiness",6879,"Sugar cane","2017","In Process"
"Laos","Khon Kaen Sugar Industry","Thailand","Agribusiness",10000,"Sugar cane","2017","Done"
"Laos","Mitr Phol Group","Thailand","Agribusiness",10000,"Sugar cane","2017","Done"
"Madagascar","Les Cultures du Cap Est","India","Agribusiness",9100,"Oil palm","2017","Done"
"Malawi","Lonrho","UK","Agribusiness",25000,"Rice","2017","In Process"
"Mali","SeedRock Africa Agriculture","Canada","Finance",40000,"Maize, rice, sorghum, soybeans, sunflowers; produce & sell hybrid seeds","2017","In Process"
"Mali","Farm Lands of Guinea, Inc","UK","Agribusiness",10000,"Maize, rice, soybeans, wheat","2017","In Process"
"Mali","Southern Global Inc.","US","Agribusiness",30000,"Rice","2017","Done"
"Mali","Foras International Investment Co","Saudi Arabia","Finance",1e+05,"Rice","2017","In Process"
"Mali","China Light Industrial Corporation for Foreign Economic and Technical Cooperation","China","Industrial",20000,"Sugar cane","2017","Done"
"Mali","Community of Sahel-Saharan States (CEN-SAD)","Libya","Government",1e+05,NA,"2017","In Process"
"Mauritania","Foras International Investment Co","Saudi Arabia","Finance",2000,"Rice","2017","Done"
"Mauritania","Al Rajhi International Investment Company","Saudi Arabia","Agribusiness, finance",50000,NA,"2017","In Process"
"Mauritius","Intrasia Capital","Singapore","Finance",2500,"Rice","2017","Done"
"Mozambique","Aslan Global Management","US","Agribusiness",10000,"Maize, soybeans","2017","Done"
"Mozambique","Servir Moç","South Africa","Agribusiness",2000,"Mixed farming","2017","Done"
"Mozambique","Tereos","France","Agribusiness",1e+05,"Sugar cane","2017","Done"
"Mozambique","Società Fondiaria Industriale Romagnola","Italy","Agribusiness",8600,"Sugar cane","2017","Done"
"Mozambique","Tongaat-Hulett","South Africa","Agribusiness",31174,"Sugar cane","2017","Done"
"Mozambique","Hubei SFAC","China","Agribusiness",1000,NA,"2017","Done"
"Mozambique","AgriSA","South Africa","Agribusiness",1e+06,NA,"2017","Done"
"New Zealand","Harvard Management Company","US","Finance",1760,"Dairy","2017","Done"
"New Zealand","DAH Beteiligungs","Germany","Information technology",1468,"Dairy","2017","Done"
"New Zealand","The Trust Company Limited","Australia","Finance",13691,NA,"2017","Done"
"Nigeria","T4M","UK","Agribusiness",3e+05,"Rice","2017","Done"
"Nigeria","Vietnam Africa Agricultural Development Company","Vietnam","Agribusiness",10000,"Rice","2017","Done"
"Paraguay","Cresud","Argentina","Agribusiness",142000,"Crops, soybeans, sunflowers","2017","Done"
"Paraguay","Calyx Agro","France","Finance",2859,"Crops, sugar cane","2017","Done"
"Paraguay","NFD Agro","Bermuda","Agribusiness",34300,"Maize, soybeans, sunflower","2017","Done"
"Paraguay","Los Grobo","Argentina","Agribusiness",22000,"Soybeans","2017","Done"
"Philippines","Hassan Group","Bahrain","Construction",10000,"Bananas, rice and other crops","2017","Done"
"Philippines","Kuwait","Kuwait","Government",20000,"Maize, rice","2017","In Process"
"Philippines","South Korea","South Korea","Government",1e+05,"Maize, rice, sugar","2017","Done"
"Philippines","Green Future Innovation","Japan","Agribusiness, industrial",11000,"Sugar cane","2017","Done"
"Romania","Pharos Financial Group","UAE","Finance",50000,"Cereals","2017","In Process"
"Romania","Agrarius AG","Germany","Agribusiness",3700,"Maize, rape, sunflowers, wheat","2017","Done"
"Romania","Ingleby Company","Denmark","Finance",8632,NA,"2017","Done"
"Russia","Eckart Hohmann","Germany","Agribusiness",29000,"Cereals","2017","Done"
"Russia","Foras International Investment Co","Saudi Arabia","Finance",10000,"Cereals","2017","In Process"
"Russia","three farmers from Ingolstadt in Bavaria","Germany","Agribusiness",4000,NA,"2017","Done"
"Russia","Anninskoe","UK","Finance",6408,NA,"2017","Done"
"Russia","Appleridge Corporation","UK","Finance",27462,NA,"2017","Done"
"Russia","Trigon Agri","Denmark","Agribusiness",120626,"Cereals","2017","Done"
"RUS","Agrowill Group","Lithuania","Agribusiness",40000,NA,"2017","Done"
"Senegal","India","India","Government",150000,"Cereals, cotton, maize, peanuts, rice","2017","In Process"
"Sierra Leone","Biopalm Energy","India","Agribusiness",80000,"Oil palm","2017","Done"
"Sierra Leone","Farm Lands of Guinea, Inc","UK","Agribusiness",11900,"Rice","2017","In Process"
"Sierra Leone","Long Van 28 Company","Vietnam","Agribusiness",2e+05,"Rice","2017","In Process"
"Sierra Leone","BHB GmbH","Germany","Finance",3000,"Rice","2017","Done"
"Sierra Leone","Addax Bioenergy","Switzerland","Energy",15500,"Sugar cane","2017","Done"
"Sierra Leone","Whitestone Charles Anderson","UK","Finance",112000,NA,"2017","Done"
"Slovakia","Germanagrar","Germany","Real estate",5167,NA,"2017","Done"
"South Sudan","Jarch Management","US","Finance",4e+05,"Cereals, flowers, fruit, oil seeds, vegetables","2017","Done"
"South Sudan","Prince Budr Bin Sultan","Saudi Arabia","Government",105000,NA,"2017","Done"
"South Sudan","African Commercial Development","Mauritius","Agribusiness",24300,NA,"2017","Done"
"South Sudan","Eyat Oilfield Services","Sudan","Energy",162000,NA,"2017","Done"
"South Sudan","Nile Trading and Development Inc.","US","Finance",6e+05,NA,"2017","Done"
"Sudan","a joint Arab-foreign company","Philippines","Agribusiness",25000,"Cereals and other crops","2017","Done"
"Sudan","National Agricultural Development Co (NADEC)","Saudi Arabia","Agribusiness",42000,NA,"2017","Done"
"Sudan","Jenaan","UAE","Agribusiness",40500,NA,"2017","Done"
"Sudan","Djibouti","Djibouti","Government",4200,NA,"2017","Done"
"Sudan","Sayegh Group","UAE","Industrial",1500000,NA,"2017","Done"
"Tanzania","Karuturi","India","Agribusiness",311700,"Crops","2017","In Process"
"Tanzania","Bhati Bangla Agrotec","Bangladesh","Agribusiness",30000,"Maize, pulses, rice","2017","In Process"
"Tanzania","FELISA","Belgium","Agribusiness",4258,"Oil palm","2017","Done"
"Tanzania","Export Trading Group","Singapore","Agribusiness",8000,"Rice","2017","Done"
"United States","Intrasia Capital","Singapore","Finance",30000,"Rice","2017","Done"
"Tanzania","SEKAB","Sweden","Agribusiness",22000,"Sugar cane","2017","Done"
"Uganda","Nitol-Niloy Group","Bangladesh","Agribusiness",10000,"Crops","2017","In Process"
"Uganda","Mehta Group","India","Agribusiness",14600,"Sugar cane","2017","Done"
"Uganda","Liu Jianjun","China","Finance",4000,NA,"2017","Done"
"Ukraine","Trigon Agri","Denmark","Agribusiness",55000,"Cereals","2017","Done"
"Ukraine","Aslan Global Management","US","Agribusiness",8500,"Cereals","2017","Done"
"Uruguay","El Tejar","Argentina","Agribusiness",160000,"Cereals","2017","Done"
"Uruguay","Hillock Capital Management","Argentina","Finance",9000,"Crops","2017","Done"
"Uruguay","Olam International","Singapore","Agribusiness",34000,"Dairy","2017","Done"
"Uruguay","Los Grobo","Argentina","Agribusiness",76300,"Soybeans","2017","Done"
"US","Agricultural Capital Partners","Ireland","Finance",1250,"Dairy","2017","Done"
"Zambia","Chayton Capital","UK","Finance",20000,"Crops","2017","Done"
"Zimbabawe","Emvest","UK","Finance",9913,NA,"2017","Done"
"Swaziland","Emvest","UK","Finance",1386,"Cattle, potatoes, sugar cane","41000","Done"
"Russia","Alpcot Agro","Sweden","Agribusiness",183200,"Cattle, rye, sunflowers, wheat","42675","Done"
"Australia","Beidahuang","China","Agribusiness",80000,"Dairy and grain farms",NA,"In Process"
"New Zealand","Aquila","Germany","Finance",4570,"Dairy",NA,"Done"
"Brazil","Mitsui","Japan","Industrial",1e+05,"Cotton, maize, soybean",NA,"Done"
"Colombia","Black River Asset Management","US","Finance",90000,"Cereals",NA,"Done"
"Ethiopia","Egyptian National Bank","Egypt","Government",20000,"Cereals",NA,"Done"
"Mali","Libya African Investment Portfolio","Libya","Government",1e+05,"Livestock, rice, vegetables",NA,"Done"
"Mozambique","Prio Foods","Portugal","Agribusiness",24234,"Maize, soybeans, sunflowers",NA,"Done"
"Romania","Assicurazioni Generali","Italy","Finance",4650,"Cereals, grapes, soybeans, sugar beet",NA,"Done"
"Russia","Hyundai","South Korea","Industrial",10000,"Cereals",NA,"Done"
"South Africa","Emvest","UK","Finance",13900,"Maize, soybeans, vegetables",NA,"Done"
"Tajikistan","China","China","Government",110000,"Cotton, rice",NA,"Done"
